Taxon	max_age	min_age
Adriosaurus_suessi	99.6    89.3
Dolichosaurus_longicollis	100.5	89.8
Pontosaurus_kornhuberi	99.6	93.5
Aigialosaurus_dalmaticus	99.6	93.5
Aigialosaurus_bucchichi	99.6	93.5
Komensaurus_carrolli	99.6	93.5
Halisaurus_platyspondylus	83.5	61.7
Halisaurus_sternbergi	83.5	70.6
Dallasaurus_turneri	93.5	89.3
Clidastes_liodontus	70.6	66
Clidastes_moorevillensis	85.8	70.6
Clidastes_propython	85.8	70.6
Prognathodon_overtoni	83.6	70.6
Prognathodon_rapax	72.1	66
Prognathodon_solvayi	83.5	66
Prognathodon_currii	70.6	66
Prognathodon_waiparaensis	72.1	66
Prognathodon_saturator	70.6	66
Globidens_alabamaensis	83.5	70.6
Globidens_dakotensis	83.5	70.6
Mosasaurus_conodon	72.1	66
Mosasaurus_hoffmannii	70.6	66
Mosasaurus_missouriensis	83.5	70.6
Plesiotylosaurus_crassidens	72.1	66
Plotosaurus_bennisoni	72.1	66
Tylosaurus_nepaeolicus	89.3	83.5
Tylosaurus_bernardi	70.6	66
Taniwhasaurus_oweni	83.6	72.1
Taniwhasaurus_antarcticus	83.5	66
Tylosaurus_proriger	83.6	72.1
Yaguarasaurus_columbianus	89.3	85.8
Eremiasaurus_heterodontus	70.6	66
Prognathodon_kianda	70.6	66
Russellosaurus_coheni	93.5	89.3
Romeosaurus_fumanensis	93.5	83.5
Ectenosaurus_clidastoides	86.3	83.6
Plioplatecarpus	72.1	66
Platecarpus_planifrons	89.3	83.5
Platecarpus_tympaniticus	85.8	83.5
Latoplatecarpus_willistoni	83.5	70.6
Selmasaurus_johnsoni	86.3	83.6
Angolasaurus_bocagei	89.8	86.3
Tethysaurus_nopcsai	93.5	89.3
Pannoniasaurus_osii	86.3	83.6
